,Type,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
800,Fusion,Ford,Automatic,Saudi,Semi Full,2014,2.0,260000,30000
801,Taurus,Ford,Automatic,Saudi,Standard,2013,1.6,251,35000
802,E,Mercedes,Automatic,Gulf Arabic,Semi Full,2018,2.0,250000,105000
803,Datsun,Nissan,Manual,Saudi,Full,2015,2.4,200000,35000
804,Accent,Hyundai,Automatic,Saudi,Standard,2016,1.6,214000,23500
805,Charger,Dodge,Automatic,Other,Full,2016,5.7,123000,109000
806,Acadia,GMC,Automatic,Saudi,Standard,2011,3.6,187000,22000
807,Hilux,Toyota,Manual,Saudi,Standard,2014,1.0,160,50000
808,Lancer,Mitsubishi,Automatic,Other,Standard,2009,1.6,222835,11500
809,Taurus,Ford,Automatic,Other,Full,2015,3.0,217000,49000
810,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.4,53000,35000
811,Sonata,Hyundai,Automatic,Saudi,Semi Full,2011,2.4,186000,25000
812,Avanza,Toyota,Automatic,Saudi,Standard,2016,1.6,160000,28000
813,H3,Others,Automatic,Other,Full,2006,3.5,236000,22000
814,Rav4,Toyota,Automatic,Saudi,Standard,2018,2.5,153000,66000
815,Taurus,Ford,Automatic,Saudi,Standard,2017,3.5,153889,68000
816,GS3,Others,Automatic,Other,Full,2021,1.3,22600,50000
817,ES,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,50000,127000
818,Datsun,Nissan,Manual,Saudi,Standard,2015,2.4,77000,53000
819,The 3,BMW,Automatic,Saudi,Full,2014,2.0,84000,60000
820,Accord,Honda,Automatic,Saudi,Standard,2017,2.4,104000,79000
821,Land Cruiser Pickup,Toyota,Manual,Saudi,Full,2018,4.0,28000,147000
822,Hilux,Toyota,Manual,Gulf Arabic,Semi Full,2017,2.7,83000,76000
823,Land Cruiser,Toyota,Automatic,Saudi,Standard,2009,5.0,319,75000
824,Elantra,Hyundai,Automatic,Saudi,Standard,2019,1.6,56536,47000
825,Camry,Toyota,Automatic,Gulf Arabic,Full,2016,2.6,183000,70000
826,Wrangler,Jeep,Manual,Gulf Arabic,Standard,2018,3.6,40000,115000
827,Hiace,Toyota,Manual,Saudi,Standard,2016,2.7,350000,60000
828,Yukon,GMC,Automatic,Saudi,Standard,2012,5.3,65000,80000
829,6,Mazda,Automatic,Saudi,Standard,2019,2.5,71187,76500
830,Patrol,Nissan,Automatic,Saudi,Full,2017,4.6,31538,161500
831,Malibu,Chevrolet,Automatic,Saudi,Full,2013,3.6,177000,30000
832,Corolla,Toyota,Automatic,Saudi,Standard,2018,1.6,90000,48500
833,Sunny,Nissan,Automatic,Saudi,Standard,2017,1.5,109763,21500
834,Senta fe,Hyundai,Automatic,Saudi,Semi Full,2013,3.3,16700,52000
835,Land Cruiser,Toyota,Automatic,Saudi,Semi Full,2003,4.5,397000,34000
836,Tahoe,Chevrolet,Automatic,Other,Full,2016,5.3,149000,149000
837,Hilux,Toyota,Manual,Saudi,Full,2019,2.7,28000,72500
838,Corolla,Toyota,Automatic,Saudi,Standard,2009,1.6,480000,15000
839,CX9,Mazda,Automatic,Saudi,Standard,2020,2.5,31200,110000
840,Azera,Hyundai,Automatic,Saudi,Full,2016,3.0,350000,41000
841,Taurus,Ford,Automatic,Other,Semi Full,2019,3.5,108000,88000
842,Sonata,Hyundai,Automatic,Saudi,Standard,2016,2.4,191000,45000
843,Elantra,Hyundai,Automatic,Gulf Arabic,Semi Full,2017,2.0,51000,42000
844,Odyssey,Honda,Automatic,Saudi,Standard,2020,3.5,40000,100000
845,E,Mercedes,Automatic,Gulf Arabic,Full,2016,3.0,117000,110000
846,G80,Genesis,Automatic,Gulf Arabic,Full,2017,3.8,66000,119000
847,ML,Mercedes,Automatic,Saudi,Semi Full,2002,3.2,297846,17000
848,Coupe,Genesis,Automatic,Saudi,Full,2014,3.8,89000,65000
849,Ciocca,Toyota,Automatic,Saudi,Semi Full,2009,5.7,275000,55000
850,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.4,168000,29000
851,Innova,Toyota,Automatic,Saudi,Standard,2017,2.7,145997,64000
852,Cayenne S,Porsche,Automatic,Saudi,Full,2014,3.0,118000,145000
853,Suburban,Chevrolet,Automatic,Saudi,Standard,2015,5.3,164000,110000
854,Cayenne Turbo,Porsche,Automatic,Other,Full,2008,4.8,152750,50000
855,Land Cruiser,Toyota,Automatic,Gulf Arabic,Full,2013,1.0,495,90000
856,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,102109,35000
857,CX9,Mazda,Automatic,Saudi,Full,2014,3.5,195000,46000
858,Sunny,Nissan,Automatic,Saudi,Standard,2019,1.5,88795,26500
859,Marquis,Ford,Automatic,Other,Full,2010,5.0,270000,19000
860,ES,Lexus,Automatic,Unknown,Full,2021,3.5,1300,175000
861,Rav4,Toyota,Automatic,Other,Full,2018,2.7,56625,82500
862,Camry,Toyota,Manual,Saudi,Standard,2008,2.5,298000,20000
863,Taurus,Ford,Automatic,Saudi,Standard,2014,3.6,322000,47500
864,Colorado,Chevrolet,Manual,Saudi,Standard,2013,2.0,196000,28000
865,Camry,Toyota,Automatic,Saudi,Semi Full,2017,2.4,190000,54000
866,Hilux,Toyota,Manual,Saudi,Full,2015,2.7,157000,60000
867,C,Mercedes,Automatic,Other,Full,2017,2.0,54000,153000
868,Sunny,Nissan,Automatic,Saudi,Standard,2016,1.5,200000,20000
869,Ciocca,Toyota,Automatic,Saudi,Semi Full,2016,5.7,333000,78000
870,Suburban,GMC,Automatic,Saudi,Semi Full,2004,5.3,111878,15000
871,Focus,Ford,Automatic,Unknown,Standard,2011,1.6,181000,10000
872,Optima,Kia,Automatic,Saudi,Full,2016,2.4,161000,68000
873,Sonata,Hyundai,Automatic,Saudi,Semi Full,2013,2.4,344506,30000
874,Furniture,Toyota,Automatic,Saudi,Standard,2020,2.7,1200,110000
875,Yukon,GMC,Automatic,Saudi,Full,2008,7.2,299000,30000
876,Taurus,Ford,Automatic,Other,Semi Full,2017,3.5,131000,67000
877,Attrage,Mitsubishi,Automatic,Saudi,Standard,2020,1.2,15000,25000
878,RX,Lexus,Automatic,Saudi,Full,2015,3.5,73000,110000
879,Marquis,Ford,Automatic,Other,Standard,2001,4.6,293,10000
880,Land Cruiser,Toyota,Automatic,Saudi,Full,2011,4.6,145000,95000
881,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.4,133000,25000
882,Camry,Toyota,Automatic,Gulf Arabic,Standard,2019,2.5,34727,83000
883,3,Mazda,Automatic,Saudi,Full,2015,2.0,74000,55000
884,Charger,Dodge,Automatic,Saudi,Full,2014,5.7,178,50000
885,Charger,Dodge,Automatic,Saudi,Semi Full,2019,3.6,56000,108000
886,C,Mercedes,Automatic,Saudi,Semi Full,2015,2.0,73000,90000
887,3,Mazda,Automatic,Gulf Arabic,Full,2017,1.6,92000,59000
888,Elantra,Hyundai,Automatic,Saudi,Standard,2020,1.6,15800,58000
889,Vitara,Others,Manual,Saudi,Standard,2006,1.0,139000,12000
890,Patrol,Nissan,Automatic,Saudi,Full,2014,4.0,25000,115000
891,Range Rover,Land Rover,Automatic,Saudi,Full,2014,5.0,97500,195000
892,Dyna,Isuzu,Manual,Saudi,Standard,2013,7.0,300,82000
893,Kaptiva,Chevrolet,Automatic,Saudi,Semi Full,2012,1.9,50000,27000
894,C300,Chrysler,Automatic,Saudi,Full,2013,1.0,220,42000
895,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,342000,53000
896,Tucson,Hyundai,Automatic,Saudi,Semi Full,2013,2.0,120000,32000
897,Nativa,Mitsubishi,Automatic,Saudi,Semi Full,2010,3.0,244,17000
898,Land Cruiser,Toyota,Automatic,Saudi,Full,2011,4.0,349266,100000
899,Dokker,Renault,Manual,Saudi,Standard,2016,1.5,122000,21500
900,Traverse,Chevrolet,Automatic,Saudi,Semi Full,2017,2.4,110000,49000
901,C300,Chrysler,Automatic,Saudi,Standard,2017,3.6,133000,70000
902,CLS,Mercedes,Automatic,Saudi,Full,2007,6.3,178000,33000
903,E,Mercedes,Automatic,Other,Full,2017,2.0,66000,162000
904,Victoria,Ford,Automatic,Saudi,Standard,2011,4.6,128000,43000
905,Prado,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,89000,151000
906,Suburban,Chevrolet,Automatic,Saudi,Full,2011,5.3,282000,60000
907,Yaris,Toyota,Automatic,Saudi,Semi Full,2017,1.2,82000,34000
908,ML,Mercedes,Automatic,Gulf Arabic,Full,2013,5.5,140000,120000
909,Elantra,Hyundai,Automatic,Saudi,Standard,2017,2.0,237000,42000
910,Hilux,Toyota,Manual,Saudi,Full,2009,2.7,400,32000
911,Datsun,Nissan,Manual,Saudi,Semi Full,2015,2.5,174436,35000
912,Cerato,Kia,Automatic,Saudi,Standard,2019,1.6,30799,45000
913,Victoria,Ford,Automatic,Saudi,Semi Full,2008,4.6,3666,16000
914,H1,Hyundai,Automatic,Saudi,Standard,2016,2.4,154000,54000
915,6,Mazda,Automatic,Saudi,Semi Full,2014,2.0,250000,31000
916,Elantra,Hyundai,Automatic,Saudi,Standard,2019,1.6,103358,48500
917,Prado,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,80000,142000
918,Elantra,Hyundai,Automatic,Saudi,Standard,2020,1.6,20939,57500
919,ES,Lexus,Automatic,Other,Full,2016,3.5,50000,126000
920,Sonata,Hyundai,Automatic,Saudi,Full,2012,2.5,221000,30000
921,ES,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,75000,125000
922,The 7,BMW,Automatic,Saudi,Full,2016,2.0,134000,150000
923,Accent,Hyundai,Automatic,Saudi,Full,2017,1.6,140000,30000
924,Mustang,Ford,Automatic,Other,Full,2019,2.3,52000,139000
925,Yukon,GMC,Automatic,Saudi,Standard,2012,5.3,235000,67000
926,Accent,Hyundai,Automatic,Saudi,Standard,2016,1.6,147000,24000
927,LF X60,Others,Automatic,Saudi,Full,2016,1.6,128000,25000
928,Taurus,Ford,Automatic,Saudi,Full,2015,3.0,197000,58000
929,Sunny,Nissan,Automatic,Saudi,Semi Full,2018,1.5,58244,30000
930,Ciocca,Toyota,Automatic,Saudi,Semi Full,2010,5.7,270000,65000
931,The 3,BMW,Automatic,Saudi,Full,2011,2.5,74000,35000
932,S,Mercedes,Automatic,Saudi,Standard,2016,3.0,60000,210000
933,Hilux,Toyota,Manual,Saudi,Full,2015,2.7,276,57000
934,Land Cruiser 70,Toyota,Manual,Saudi,Standard,2003,1.6,230000,69000
935,C,Mercedes,Automatic,Saudi,Semi Full,2015,2.0,99000,91500
936,FJ,Toyota,Automatic,Saudi,Full,2016,4.0,148,98000
937,Hilux,Toyota,Manual,Saudi,Full,2018,2.7,48000,90000
938,Rav4,Toyota,Automatic,Saudi,Semi Full,2017,2.4,190000,60000
939,Marquis,Ford,Automatic,Other,Full,2008,4.6,171000,27000
940,Accent,Hyundai,Automatic,Saudi,Standard,2016,1.4,111,22000
941,Tucson,Hyundai,Automatic,Saudi,Standard,2018,1.6,146000,75000
942,Sunny,Nissan,Automatic,Saudi,Standard,2018,1.5,105499,25000
943,Impala,Chevrolet,Automatic,Gulf Arabic,Full,2016,3.5,152000,70000
944,A3,Audi,Automatic,Saudi,Semi Full,2016,1.4,70278,69500
945,Aurion,Toyota,Automatic,Saudi,Full,2009,3.5,373000,33500
946,Hilux,Toyota,Manual,Saudi,Full,2018,2.7,94458,91500
947,Victoria,Ford,Automatic,Saudi,Standard,2008,4.6,21000,13000
948,Sierra,GMC,Automatic,Saudi,Standard,2013,5.3,300000,45000
949,Furniture,Toyota,Automatic,Saudi,Semi Full,2021,2.4,29000,145000
950,Spark,Chevrolet,Automatic,Saudi,Standard,2020,1.4,16000,27000
951,Avalon,Toyota,Automatic,Saudi,Standard,2019,3.5,43418,115000
952,Azera,Hyundai,Automatic,Saudi,Semi Full,2019,3.5,44271,95000
953,C,Mercedes,Automatic,Saudi,Full,2019,2.0,40000,210000
954,CX5,Mazda,Automatic,Gulf Arabic,Standard,2014,2.5,110000,41000
955,Fluence,Renault,Automatic,Saudi,Standard,2015,1.6,121913,29000
956,Optima,Kia,Automatic,Saudi,Semi Full,2015,2.4,173544,37000
957,Accent,Hyundai,Automatic,Saudi,Full,2014,1.6,324000,20000
958,5,MG,Automatic,Saudi,Full,2020,1.5,23000,44000
959,Datsun,Nissan,Manual,Saudi,Full,2015,2.4,147000,45000
960,Camry,Toyota,Manual,Saudi,Standard,2007,2.5,192000,20000
961,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,188000,53000
962,Furniture,Toyota,Automatic,Saudi,Full,2015,4.0,26000,52000
963,Sierra,GMC,Automatic,Other,Standard,2015,5.3,145000,87500
964,Explorer,Ford,Automatic,Saudi,Standard,2005,4.0,300000,7000
965,Marquis,Ford,Automatic,Other,Full,2008,9.0,115,17000
966,Caprice,Chevrolet,Automatic,Saudi,Full,2009,6.3,211000,40000
967,Hilux,Toyota,Automatic,Saudi,Full,2016,2.7,90000,79000
968,Avanza,Toyota,Automatic,Saudi,Semi Full,2018,1.6,41000,45000
969,Koleos,Renault,Automatic,Saudi,Full,2017,2.5,103503,64000
970,Pajero,Mitsubishi,Automatic,Saudi,Full,2017,3.5,81000,72000
971,Hilux,Toyota,Manual,Gulf Arabic,Standard,2018,2.4,130000,80000
972,Prado,Toyota,Automatic,Saudi,Semi Full,2015,4.0,160000,105000
973,Avalon,Toyota,Automatic,Saudi,Semi Full,2021,3.5,6500,140000
974,Pajero,Mitsubishi,Automatic,Saudi,Full,2016,3.8,146000,63000
975,Land Cruiser,Toyota,Automatic,Saudi,Full,2007,4.5,315000,63000
976,Suburban,GMC,Automatic,Gulf Arabic,Standard,2016,5.3,98000,140000
977,Innova,Toyota,Automatic,Saudi,Standard,2018,2.7,87000,70000
978,Hilux,Toyota,Automatic,Saudi,Full,2016,2.8,97000,91000
979,Marquis,Ford,Automatic,Other,Semi Full,2011,4.6,300000,22000
980,Hilux,Toyota,Manual,Saudi,Semi Full,2015,2.7,328000,65000
981,Accord,Honda,Automatic,Gulf Arabic,Semi Full,2016,2.4,106000,66000
982,Senta fe,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,149000,47000
983,Odyssey,Honda,Automatic,Saudi,Semi Full,2016,3.5,185000,52000
984,Tahoe,Chevrolet,Automatic,Saudi,Full,2010,2.7,260000,65000
985,Pajero,Mitsubishi,Automatic,Saudi,Standard,2016,3.5,137000,55000
986,Corolla,Toyota,Manual,Saudi,Standard,2010,1.5,318800,18000
987,F150,Ford,Automatic,Saudi,Standard,2011,5.0,133000,33000
988,ES,Lexus,Automatic,Saudi,Semi Full,2015,3.5,246398,85000
989,Senta fe,Hyundai,Automatic,Saudi,Full,2016,3.3,157000,69000
990,Accent,Hyundai,Automatic,Saudi,Standard,2020,1.4,19717,41500
991,ES,Lexus,Automatic,Gulf Arabic,Semi Full,2015,3.5,161000,74000
992,Tucson,Hyundai,Automatic,Other,Semi Full,2016,2.4,119800,57000
993,ES,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,99000,129000
994,Yaris,Toyota,Automatic,Saudi,Standard,2017,1.3,100000,27000
995,Senta fe,Hyundai,Automatic,Saudi,Semi Full,2012,2.4,126000,42000
996,Sierra,GMC,Automatic,Gulf Arabic,Full,2020,5.3,32000,158000
997,FJ,Toyota,Automatic,Saudi,Full,2016,4.0,184000,100000
998,Datsun,Nissan,Manual,Saudi,Full,2015,1.1,215267,31000
999,Cerato,Kia,Automatic,Saudi,Standard,2017,1.6,97000,38500
1000,Hilux,Toyota,Manual,Saudi,Standard,2016,2.7,220424,62000
1001,H1,Hyundai,Automatic,Saudi,Semi Full,2015,2.4,140000,55000
1002,Abeka,Chevrolet,Automatic,Saudi,Full,2008,1.8,260,14000
1003,Yukon,GMC,Automatic,Saudi,Semi Full,2011,1.0,600000,36000
1004,Hiace,Toyota,Manual,Saudi,Standard,2017,2.7,134007,70000
1005,GS,MG,Automatic,Saudi,Full,2016,1.5,139000,42000
1006,Altima,Nissan,Automatic,Saudi,Standard,2017,2.5,40000,59000
1007,Navara,Nissan,Automatic,Saudi,Semi Full,2014,2.5,178754,45000
1008,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,97300,31000
1009,C300,Chrysler,Automatic,Saudi,Full,2019,5.7,45000,145000
1010,Prado,Toyota,Automatic,Saudi,Semi Full,2018,4.0,56000,150000
1011,Innova,Toyota,Automatic,Saudi,Standard,2018,2.7,275916,67000
1012,Navara,Nissan,Manual,Saudi,Full,2015,2.5,83000,45000
1013,IS,Lexus,Automatic,Saudi,Full,2005,3.5,400000,50000
1014,6,Mazda,Automatic,Saudi,Standard,2016,2.5,267000,50000
1015,Ciocca,Toyota,Automatic,Saudi,Standard,2013,5.7,114000,89000
1016,Furniture,Toyota,Automatic,Saudi,Semi Full,2016,2.4,120000,92000
1017,Expedition,Ford,Manual,Saudi,Full,2012,4.8,304,38000
1018,Sierra,GMC,Automatic,Saudi,Full,2021,5.3,2000,190000
1019,Land Cruiser Pickup,Toyota,Manual,Gulf Arabic,Full,2016,4.0,243038,93500
1020,Accord,Honda,Automatic,Gulf Arabic,Full,2005,2.4,300000,11000
1021,Elantra,Hyundai,Automatic,Saudi,Standard,2019,1.6,106787,48500
1022,Camry,Toyota,Automatic,Saudi,Standard,2016,2.5,130000,55000
1023,Grand Marquis,Others,Automatic,Other,Full,2007,4.6,570000,24000
1024,G80,Genesis,Automatic,Saudi,Semi Full,2018,3.8,75000,110000
1025,Rav4,Toyota,Automatic,Saudi,Full,2018,1.8,63000,90000
1026,Sonata,Hyundai,Automatic,Saudi,Full,2016,2.4,230000,45000
1027,Accord,Honda,Automatic,Gulf Arabic,Full,2019,1.5,81000,95000
1028,Furniture,Toyota,Manual,Saudi,Semi Full,2015,4.0,70346,80500
1029,The 5,BMW,Automatic,Saudi,Semi Full,2019,2.0,29900,150000
1030,Corolla,Toyota,Automatic,Saudi,Standard,2013,1.6,186000,27000
1031,Prado,Toyota,Automatic,Saudi,Semi Full,2020,2.7,5000,153000
1032,Sunny,Nissan,Automatic,Saudi,Standard,2019,1.5,77000,28500
1033,Camry,Toyota,Automatic,Gulf Arabic,Semi Full,2015,2.4,140000,45000
1034,CX9,Mazda,Automatic,Saudi,Semi Full,2016,3.0,230000,50000
1035,Patrol,Nissan,Automatic,Saudi,Semi Full,2016,5.6,50000,150000
1036,Flying Spur,Others,Automatic,Saudi,Full,2010,5.0,58000,175000
1037,Corolla,Toyota,Automatic,Saudi,Standard,2018,1.6,83000,45000
1038,Camry,Toyota,Automatic,Saudi,Standard,2015,2.5,277000,48000
1039,Land Cruiser,Toyota,Automatic,Saudi,Full,2015,5.7,119000,180000
1040,Prado,Toyota,Automatic,Saudi,Standard,2015,2.7,250000,78000
1041,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,250000,70000
1042,C,Mercedes,Automatic,Other,Full,2019,2.0,15000,175000
1043,Hilux,Toyota,Manual,Saudi,Semi Full,2018,2.7,105558,76500
1044,Pilot,Honda,Automatic,Gulf Arabic,Full,2015,3.5,98000,75000
1045,L200,Mitsubishi,Manual,Saudi,Standard,2015,2.5,103000,30000
1046,Charger,Dodge,Automatic,Other,Full,2016,3.6,101000,95000
1047,Yaris,Toyota,Automatic,Saudi,Semi Full,2019,1.5,42628,38500
1048,Explorer,Ford,Automatic,Saudi,Standard,2014,3.6,209500,56000
1049,Elantra,Hyundai,Automatic,Saudi,Standard,2016,1.6,172600,35000
1050,Ranger,Ford,Manual,Saudi,Full,2015,3.2,145000,65000
1051,FJ,Toyota,Automatic,Gulf Arabic,Full,2017,1.6,74658,135000
1052,Sierra,GMC,Automatic,Saudi,Full,2015,5.3,86500,98000
1053,Escalade,Cadillac,Automatic,Other,Full,2016,6.2,119000,178000
1054,Patrol,Nissan,Automatic,Saudi,Full,2005,4.0,340000,35000
1055,CX5,Mazda,Automatic,Saudi,Full,2020,2.0,26000,112000
1056,Furniture,Toyota,Automatic,Saudi,Semi Full,2020,4.0,20406,132000
1057,A7,Audi,Automatic,Saudi,Full,2017,2.0,127000,135000
1058,Altima,Nissan,Automatic,Gulf Arabic,Full,2015,2.5,119500,47000
1059,X-Trail,Nissan,Automatic,Saudi,Standard,2016,2.5,115000,50000
1060,Furniture,Toyota,Automatic,Saudi,Full,2020,4.0,20000,130000
1061,Cadenza,Kia,Automatic,Gulf Arabic,Full,2011,3.3,334624,27500
1062,Yukon,GMC,Automatic,Saudi,Semi Full,2013,5.3,150000,65000
1063,Accord,Honda,Automatic,Saudi,Standard,2018,1.5,129000,68000
1064,X,BMW,Automatic,Gulf Arabic,Semi Full,2017,3.0,71000,170000
1065,Avalon,Toyota,Automatic,Saudi,Semi Full,2015,3.5,167,51000
1066,F150,Ford,Automatic,Gulf Arabic,Full,2018,5.0,59790,135000
1067,Caprice,Chevrolet,Automatic,Saudi,Standard,2014,6.0,35481,106500
1068,Charger,Dodge,Automatic,Other,Full,2015,5.7,119000,105000
1069,Quattroporte,Others,Automatic,Gulf Arabic,Full,2014,3.8,115000,125000
1070,Malibu,Chevrolet,Automatic,Saudi,Semi Full,2013,2.4,233000,20000
1071,Other,Honda,Manual,Saudi,Standard,2011,1.0,4200,6500
1072,Furniture,Toyota,Automatic,Saudi,Semi Full,2019,2.7,37000,107000
1073,Range Rover,Land Rover,Automatic,Gulf Arabic,Full,2016,3.5,122000,176000
1074,Yaris,Toyota,Automatic,Saudi,Standard,2019,1.5,36000,43000
1075,FJ,Toyota,Automatic,Gulf Arabic,Full,2020,6.0,50000,140000
1076,Cerato,Kia,Automatic,Saudi,Standard,2016,1.6,62000,29750
1077,ES,Lexus,Automatic,Other,Full,2017,3.0,69000,142000
1078,Ciocca,Toyota,Automatic,Saudi,Full,2016,5.7,134000,90000
1079,Hilux,Toyota,Manual,Saudi,Semi Full,2014,2.7,309000,45000
1080,Tahoe,Chevrolet,Automatic,Saudi,Full,2012,5.3,287928,58000
1081,Sonata,Hyundai,Automatic,Saudi,Standard,2018,2.4,55000,60000
1082,Furniture,Toyota,Automatic,Saudi,Full,2017,2.7,236000,75000
1083,Compass,Jeep,Automatic,Saudi,Semi Full,2019,2.4,43834,66000
1084,Tahoe,Chevrolet,Automatic,Gulf Arabic,Full,2003,5.3,45000,18000
1085,Dyna,Isuzu,Manual,Gulf Arabic,Full,2014,6.0,460000,120000
1086,Sonata,Hyundai,Automatic,Saudi,Full,2019,2.4,33000,85000
1087,Ranger,Ford,Manual,Saudi,Full,2011,2.5,168000,24000
1088,Prestige,Genesis,Automatic,Saudi,Standard,2016,3.8,131000,74000
1089,Innova,Toyota,Manual,Saudi,Standard,2006,2.5,498000,18000
1090,Cadenza,Kia,Automatic,Saudi,Standard,2020,3.5,5000,108000
1091,Hilux,Toyota,Automatic,Saudi,Full,2020,2.4,30000,147000
1092,Vego,Ford,Automatic,Saudi,Standard,2019,1.5,47856,27500
1093,Pajero,Mitsubishi,Automatic,Gulf Arabic,Semi Full,2016,6.0,200000,53000
1094,Viano,Mercedes,Automatic,Saudi,Full,2015,3.5,119000,99000
1095,Accord,Honda,Automatic,Other,Full,2010,2.4,205,30000
1096,ES,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,100000,115000
1097,Sunny,Nissan,Automatic,Saudi,Standard,2019,1.5,92000,28500
1098,Prestige,Genesis,Automatic,Saudi,Standard,2016,3.8,165000,84000
1099,Bus Urvan,Nissan,Manual,Gulf Arabic,Full,2010,2.7,2012,14500
1100,Macan,Porsche,Automatic,Saudi,Full,2016,3.0,86000,158000
1101,Sonata,Hyundai,Automatic,Saudi,Semi Full,2018,2.4,78000,63000
1102,Sonata,Hyundai,Automatic,Saudi,Standard,2018,2.4,65000,64000
1103,Innova,Toyota,Automatic,Saudi,Standard,2020,2.7,24552,76500
1104,Rio,Kia,Automatic,Saudi,Standard,2016,1.4,154000,23000
1105,Suburban,Chevrolet,Automatic,Other,Full,2016,5.3,192000,143000
1106,Pajero,Mitsubishi,Automatic,Saudi,Full,2016,3.5,126000,64000
1107,Elantra,Hyundai,Automatic,Saudi,Standard,2019,2.0,18197,53000
1108,Yukon,GMC,Automatic,Saudi,Standard,2010,5.3,379538,65000
1109,Blazer,Chevrolet,Automatic,Other,Full,2005,2.0,213000,13500
1110,Yaris,Toyota,Automatic,Saudi,Full,2020,1.5,2100,50000
1111,Innova,Toyota,Automatic,Saudi,Full,2017,2.7,139400,58000
1112,Innova,Toyota,Automatic,Saudi,Standard,2020,2.7,74000,75000
1113,Accent,Hyundai,Automatic,Saudi,Semi Full,2017,1.4,174000,24000
1114,IS,Lexus,Automatic,Saudi,Full,2015,3.5,181000,60000
1115,Hilux,Toyota,Manual,Saudi,Standard,2009,1.5,25788,30000
1116,Yukon,GMC,Automatic,Saudi,Standard,2007,5.3,221000,30000
1117,Caprice,Chevrolet,Automatic,Saudi,Standard,2009,3.5,320000,27000
1118,Taurus,Ford,Automatic,Saudi,Standard,2018,3.5,63000,80000
1119,Taurus,Ford,Automatic,Saudi,Standard,2016,3.5,136000,58000
1120,Corolla,Toyota,Automatic,Saudi,Semi Full,2018,1.6,124000,40000
1121,LX,Lexus,Automatic,Saudi,Full,2000,5.7,460,46000
1122,Pathfinder,Nissan,Automatic,Saudi,Full,2006,3.5,300,21000
1123,Land Cruiser Pickup,Toyota,Manual,Gulf Arabic,Full,2016,4.0,315,85000
1124,RX,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,59073,186500
1125,CX3,Mazda,Automatic,Saudi,Standard,2020,2.0,14501,66000
1126,Rav4,Toyota,Automatic,Other,Full,2018,2.5,61000,83000
1127,Land Cruiser Pickup,Nissan,Automatic,Saudi,Full,2016,4.8,44000,95000
1128,Taurus,Ford,Automatic,Saudi,Standard,2018,3.5,91355,74500
1129,Cerato,Kia,Automatic,Saudi,Standard,2019,1.5,30766,42000
1130,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2016,5.3,107320,130000
1131,Tahoe,Chevrolet,Automatic,Saudi,Full,2016,5.3,146000,118000
1132,H1,Hyundai,Automatic,Saudi,Standard,2015,4.0,400000,43000
1133,Traverse,Chevrolet,Automatic,Saudi,Standard,2020,3.6,22800,100000
1134,Pajero,Mitsubishi,Automatic,Saudi,Standard,2015,3.5,264000,38000
1135,Navara,Nissan,Manual,Saudi,Standard,2015,2.5,119000,37000
1136,FJ,Toyota,Automatic,Gulf Arabic,Full,2015,4.0,200000,88000
1137,Camry,Toyota,Automatic,Gulf Arabic,Full,2018,2.5,42000,95000
1138,Durango,Dodge,Automatic,Other,Semi Full,2012,5.7,315,20000
1139,LS,Lexus,Automatic,Saudi,Full,2008,4.6,130000,75000
1140,Azkarra,Geely,Automatic,Saudi,Full,2021,1.5,20000,78000
1141,Avalon,Toyota,Automatic,Saudi,Full,2017,3.5,180000,95000
1142,RX,Lexus,Automatic,Gulf Arabic,Full,2016,3.5,176700,130000
1143,Pathfinder,Nissan,Automatic,Saudi,Semi Full,2001,2.7,546473,14000
1144,Yukon,GMC,Automatic,Saudi,Standard,2018,5.3,82011,146500
1145,Caprice,Chevrolet,Automatic,Saudi,Full,2013,6.0,190000,50000
1146,Innova,Toyota,Automatic,Saudi,Standard,2014,2.7,123000,33000
1147,GL,Mercedes,Automatic,Saudi,Full,2012,4.8,106000,71000
1148,Furniture,Toyota,Automatic,Saudi,Full,2008,4.0,288000,36000
1149,Corolla,Toyota,Automatic,Saudi,Standard,2018,1.6,45370,49000
1150,Veloster,Hyundai,Automatic,Saudi,Full,2013,2.0,248000,25000
1151,L200,Mitsubishi,Manual,Saudi,Standard,2020,2.5,197,71000
1152,Datsun,Nissan,Manual,Saudi,Standard,2015,2.7,77000,45000
