,Type,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
1952,Pilot,Honda,Automatic,Saudi,Semi Full,2016,1.6,103000,85000
1953,ES,Lexus,Automatic,Saudi,Standard,2021,2.5,13500,172500
1954,LX,Lexus,Automatic,Saudi,Full,2014,5.7,342,150000
1955,Land Cruiser,Toyota,Automatic,Gulf Arabic,Semi Full,2001,4.6,390000,35000
1956,Innova,Toyota,Automatic,Saudi,Full,2017,2.7,130000,67000
1957,Yukon,GMC,Automatic,Saudi,Standard,2011,8.0,320000,50000
1958,Yukon,GMC,Automatic,Saudi,Full,2014,6.2,36000,95000
1959,Victoria,Ford,Automatic,Saudi,Standard,2002,4.6,368000,10000
1960,Odyssey,Honda,Automatic,Gulf Arabic,Standard,2016,2.4,87000,65000
1961,Camry,Toyota,Manual,Saudi,Full,2010,2.4,390000,20000
1962,Avalon,Toyota,Automatic,Saudi,Standard,2015,3.5,249539,77500
1963,Patrol,Nissan,Automatic,Saudi,Semi Full,2014,5.6,200000,105000
1964,RX,Lexus,Automatic,Saudi,Full,2015,3.5,49000,123000
1965,RX,Lexus,Automatic,Saudi,Full,2016,3.5,104000,148000
1966,Wrangler,Jeep,Automatic,Gulf Arabic,Full,2017,3.6,42000,110000
1967,Sonata,Hyundai,Automatic,Saudi,Semi Full,2019,2.4,78000,62000
1968,Prado,Toyota,Automatic,Saudi,Semi Full,2016,4.0,97000,119000
1969,Accent,Hyundai,Automatic,Saudi,Semi Full,2018,1.4,95000,41000
1970,XJ,Others,Automatic,Saudi,Full,2015,3.0,57000,180000
1971,Accord,Honda,Automatic,Saudi,Full,2016,3.5,183000,67000
1972,CS75,Changan,Automatic,Saudi,Full,2019,1.8,83425,51500
1973,Camry,Toyota,Automatic,Gulf Arabic,Standard,2020,2.5,4443,84500
1974,Senta fe,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,255000,51000
1975,3,Mazda,Automatic,Gulf Arabic,Standard,2016,1.6,165000,45000
1976,G80,Genesis,Automatic,Saudi,Semi Full,2018,3.8,127000,93000
